;;PZ_AP_13;;;;;;;PZ_AP_29_S;;;;;;;PZ_AP_30_R;;;;;;;PZ_AP_31_R;;;;;;;PZ_AP_32_S;;;;;;;PZ_AP_33_R;;;;;;;PZ_AP_34_S;;;;;;FJ-24;;;;;;;SM-29;;;;;;;SM-30;;;;;;;SM-32;;;;;;;INA_AP_13;;;;;;;GST-APAM-01;;;;;;;GST-APAM-03;;;;;;;INA_AP_22;;;;;;;GST-APAM-05;;;;;;;INA_AP_21;;;;;;;GST-APAM-04;;;;;;;INA_AP_26;;;;;;;;GST-APAM-06;;;;;;;GST-APAM-02;;;;;
DATA;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota ;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade ;;Leitura ;Cota;Terreno;Boca ;Fundo;Pronfundidade 
05/02/2021;;13,24;940,46;953,04;953,70;927,51;26,19;;;;976,42;976,82;955,42;21,40;;;;976,23;976,65;922,25;54,40;;;;1032,82;1033,35;968,55;64,80;;;1033,40;1032,96;1033,40;996,20;37,20;;;;1012,58;1012,88;960,58;52,30;;;;1012,56;1012,87;989,72;23,15;;;;;;;;6,62;950,26;955,88;956,88;949,77;7,11;;10,3;964,07;973,19;974,37;962,81;11,56;;6,7;967,20;972,88;973,90;965,60;8,30;;6,18;947,61;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;10,8;945,71;955,68;956,51;940,96;15,55;;;;;;;;;12,61;926,94;938,68;939,55;914,85;24,70;;;;;;;;;20,72;920,93;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
08/02/2021;;;;953,04;953,70;927,51;26,19;;12,33;964,49;976,42;976,82;955,42;21,40;;15,6;961,05;976,23;976,65;922,25;54,40;;23,85;1009,50;1032,82;1033,35;968,55;64,80;;25,60;;1032,96;1033,40;996,20;37,20;;25,49;987,39;1012,58;1012,88;960,58;52,30;;22,34;990,53;1012,56;1012,87;989,72;23,15;;;;;;;;;;;;;;;;;973,19;974,37;962,81;11,56;;;;972,88;973,90;965,60;8,30;;;;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;938,68;939,55;914,85;24,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23/02/2021;;13,13;940,57;953,04;953,70;927,51;26,19;;12,39;964,43;976,42;976,82;955,42;21,40;;15,56;961,09;976,23;976,65;922,25;54,40;;23,81;1009,54;1032,82;1033,35;968,55;64,80;;25,56;1007,84;1032,96;1033,40;996,20;37,20;;24,25;988,63;1012,58;1012,88;960,58;52,30;;22,74;990,13;1012,56;1012,87;989,72;23,15;;;;;;;;6,42;950,46;955,88;956,88;949,77;7,11;;10,13;964,24;973,19;974,37;962,81;11,56;;6,53;967,37;972,88;973,90;965,60;8,30;;6,03;947,76;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;10,89;945,62;955,68;956,51;940,96;15,55;;;;;;;;;11,37;928,18;938,68;939,55;914,85;24,70;;;;;;;;;20,66;920,99;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
08/02/2021;;13,03;940,67;953,04;953,70;927,51;26,19;;12,37;964,45;976,42;976,82;955,42;21,40;;15,43;961,22;976,23;976,65;922,25;54,40;;23,84;1009,51;1032,82;1033,35;968,55;64,80;;25,57;1007,83;1032,96;1033,40;996,20;37,20;;25,2;987,68;1012,58;1012,88;960,58;52,30;;23,15;989,72;1012,56;1012,87;989,72;23,15;;;;;;;;6,29;950,59;955,88;956,88;949,77;7,11;;10,12;964,25;973,19;974,37;962,81;11,56;;6,55;967,35;972,88;973,90;965,60;8,30;;5,79;948,00;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;10,85;945,66;955,68;956,51;940,96;15,55;;;;;;;;;10,11;929,44;938,68;939,55;914,85;24,70;;;;;;;;;20,66;920,99;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
09/02/2021;;;;953,04;953,70;927,51;26,19;;12,37;964,45;976,42;976,82;955,42;21,40;;15,43;961,22;976,23;976,65;922,25;54,40;;23,84;1009,51;1032,82;1033,35;968,55;64,80;;25,57;1007,83;1032,96;1033,40;996,20;37,20;;25,2;987,68;1012,58;1012,88;960,58;52,30;;23,15;989,72;1012,56;1012,87;989,72;23,15;;;;;;;;;;955,88;956,88;949,77;7,11;;;;973,19;974,37;962,81;11,56;;;;972,88;973,90;965,60;8,30;;;;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;;;955,68;956,51;940,96;15,55;;;;;;;;;;;938,68;939,55;914,85;24,70;;;;;;;;;;;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
23/02/2021;;12,73;940,97;953,04;953,70;927,51;26,19;;12,32;964,50;976,42;976,82;955,42;21,40;;15,34;961,31;976,23;976,65;922,25;54,40;;23,73;1009,62;1032,82;1033,35;968,55;64,80;;25,53;1007,87;1032,96;1033,40;996,20;37,20;;25,19;987,69;1012,58;1012,88;960,58;52,30;;22,34;990,53;1012,56;1012,87;989,72;23,15;;;;;;;;6,12;950,76;955,88;956,88;949,77;7,11;;9,95;964,42;973,19;974,37;962,81;11,56;;6,45;967,45;972,88;973,90;965,60;8,30;;5,59;948,20;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;9,72;946,79;955,68;956,51;940,96;15,55;;;;;;;;;12,17;927,38;938,68;939,55;914,85;24,70;;;;;;;;;20,65;921,00;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
01/03/2021;;12,60;941,10;953,04;953,70;927,51;26,19;;12,31;964,51;976,42;976,82;955,42;21,40;;15,56;961,09;976,23;976,65;922,25;54,40;;23,71;1009,64;1032,82;1033,35;968,55;64,80;;25,50;1007,90;1032,96;1033,40;996,20;37,20;;25,16;987,72;1012,58;1012,88;960,58;52,30;;22,35;990,52;1012,56;1012,87;989,72;23,15;;;;;;;;6,02;950,86;955,88;956,88;949,77;7,11;;9,84;964,53;973,19;974,37;962,81;11,56;;6,40;967,50;972,88;973,90;965,60;8,30;;5,59;948,20;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;9,92;946,59;955,68;956,51;940,96;15,55;;;;;;;;;12,18;927,37;938,68;939,55;914,85;24,70;;;;;;;;;20,60;921,05;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
02/03/2021;;12,99;940,71;953,04;953,70;927,51;26,19;;12,41;964,41;976,42;976,82;955,42;21,40;;15,68;960,97;976,23;976,65;922,25;54,40;;23,61;1009,74;1032,82;1033,35;968,55;64,80;;25,42;1007,98;1032,96;1033,40;996,20;37,20;;22,34;990,54;1012,58;1012,88;960,58;52,30;;25,15;987,72;1012,56;1012,87;989,72;23,15;;;;;;;;6,28;950,60;955,88;956,88;949,77;7,11;;9,68;964,69;973,19;974,37;962,81;11,56;;6,56;967,34;972,88;973,90;965,60;8,30;;5,75;948,04;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;11,12;945,39;955,68;956,51;940,96;15,55;;;;;;;;;14,91;924,64;938,68;939,55;914,85;24,70;;;;;;;;;20,67;920,98;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
09/03/2021;;13,27;940,43;953,04;953,70;927,51;26,19;;12,51;964,31;976,42;976,82;955,42;21,40;;15,79;960,86;976,23;976,65;922,25;54,40;;23,59;1009,76;1032,82;1033,35;968,55;64,80;;25,39;1008,01;1032,96;1033,40;996,20;37,20;;25,43;987,45;1012,58;1012,88;960,58;52,30;;22,33;990,54;1012,56;1012,87;989,72;23,15;;;;;;;;6,50;950,38;955,88;956,88;949,77;7,11;;9,84;964,53;973,19;974,37;962,81;11,56;;6,77;967,13;972,88;973,90;965,60;8,30;;6,10;947,69;953,14;953,79;944,86;8,93;;;;;;;;;;;;;;;;11,27;945,24;955,68;956,51;940,96;15,55;;;;;;;;;15,25;924,30;938,68;939,55;914,85;24,70;;;;;;;;;20,74;920,91;940,85;941,65;926,10;15,55;;;;;;;;;;;;;;;
